Id;Datum;Zeit;IL1;UL1
170;15.09.2020;09:05:57.000;17.726;183.809
171;15.09.2020;09:05:58.000;17.566;183.835
172;15.09.2020;09:05:59.000;17.592;183.816
173;15.09.2020;09:06:00.000;17.596;183.805
174;15.09.2020;09:06:01.000;17.551;183.784
175;15.09.2020;09:06:02.000;17.577;183.776
176;15.09.2020;09:06:03.000;17.653;183.699
177;15.09.2020;09:06:04.000;16.572;183.764
178;15.09.2020;09:06:05.000;13.577;183.955
179;15.09.2020;09:06:06.000;13.523;183.958
180;15.09.2020;09:06:07.000;13.696;183.945
181;15.09.2020;09:06:08.000;11.595;184.110
182;15.09.2020;09:06:09.000;7.805;184.282
183;15.09.2020;09:06:10.000;1.522;184.475
184;15.09.2020;09:06:11.000;1.457;184.484
185;15.09.2020;09:06:12.000;1.441;184.475
186;15.09.2020;09:06:13.000;1.458;184.510
187;15.09.2020;09:06:14.000;0.476;184.550
188;15.09.2020;09:06:15.000;0.025;184.582
189;15.09.2020;09:06:16.000;0.025;184.555
190;15.09.2020;09:06:17.000;0.025;184.579
191;15.09.2020;09:06:18.000;0.026;184.611
192;15.09.2020;09:06:19.000;0.025;184.606
193;15.09.2020;09:06:20.000;0.025;184.546
194;15.09.2020;09:06:21.000;0.025;184.544
195;15.09.2020;09:06:22.000;0.025;184.534
196;15.09.2020;09:06:23.000;0.025;184.550
197;15.09.2020;09:06:24.000;0.025;184.547
198;15.09.2020;09:06:25.000;0.025;184.516
199;15.09.2020;09:06:26.000;0.025;184.547
200;15.09.2020;09:06:27.000;0.025;184.507
201;15.09.2020;09:06:28.000;0.025;184.549
202;15.09.2020;09:06:29.000;0.026;184.544
203;15.09.2020;09:06:30.000;0.025;184.544
204;15.09.2020;09:06:31.000;0.026;184.536
205;15.09.2020;09:06:32.000;0.026;184.519
206;15.09.2020;09:06:33.000;0.025;184.578
207;15.09.2020;09:06:34.000;0.026;184.517
208;15.09.2020;09:06:35.000;0.026;184.526
209;15.09.2020;09:06:36.000;0.026;184.575
210;15.09.2020;09:06:37.000;0.025;184.589
211;15.09.2020;09:06:38.000;0.026;184.609
212;15.09.2020;09:06:39.000;0.025;184.648
213;15.09.2020;09:06:40.000;0.025;184.648
214;15.09.2020;09:06:41.000;0.025;184.574
215;15.09.2020;09:06:42.000;0.025;184.564
216;15.09.2020;09:06:43.000;0.025;184.598
217;15.09.2020;09:06:44.000;0.025;184.573
218;15.09.2020;09:06:45.000;0.025;184.600
219;15.09.2020;09:06:46.000;0.025;184.629
220;15.09.2020;09:06:47.000;0.025;184.634
221;15.09.2020;09:06:48.000;0.025;184.668
222;15.09.2020;09:06:49.000;0.026;184.669
223;15.09.2020;09:06:50.000;0.025;184.707
224;15.09.2020;09:06:51.000;0.025;184.685
225;15.09.2020;09:06:52.000;0.025;184.630
226;15.09.2020;09:06:53.000;0.025;184.661
227;15.09.2020;09:06:54.000;0.025;184.588
228;15.09.2020;09:06:55.000;0.025;184.586
229;15.09.2020;09:06:56.000;0.025;184.589
230;15.09.2020;09:06:57.000;0.025;184.594
231;15.09.2020;09:06:58.000;0.025;184.574
232;15.09.2020;09:06:59.000;0.025;184.541
233;15.09.2020;09:07:00.000;0.025;184.539
234;15.09.2020;09:07:01.000;0.025;184.514
235;15.09.2020;09:07:02.000;0.025;184.464
236;15.09.2020;09:07:03.000;0.025;184.535
237;15.09.2020;09:07:04.000;0.025;184.721
238;15.09.2020;09:07:05.000;0.025;187.742
239;15.09.2020;09:07:06.000;0.025;187.687
240;15.09.2020;09:07:07.000;0.025;187.659
241;15.09.2020;09:07:08.000;0.025;187.710
242;15.09.2020;09:07:09.000;0.025;187.709
243;15.09.2020;09:07:10.000;0.025;187.762
244;15.09.2020;09:07:11.000;0.025;187.785
245;15.09.2020;09:07:12.000;0.025;187.806
246;15.09.2020;09:07:13.000;0.026;187.782
247;15.09.2020;09:07:14.000;0.025;187.761
248;15.09.2020;09:07:15.000;0.025;187.831
249;15.09.2020;09:07:16.000;0.025;187.778
250;15.09.2020;09:07:17.000;0.025;187.776
251;15.09.2020;09:07:18.000;0.025;187.822
252;15.09.2020;09:07:19.000;0.025;187.821
253;15.09.2020;09:07:20.000;0.025;187.850
254;15.09.2020;09:07:21.000;0.025;187.751
255;15.09.2020;09:07:22.000;0.025;187.719
256;15.09.2020;09:07:23.000;0.025;187.727
257;15.09.2020;09:07:24.000;0.025;187.733
258;15.09.2020;09:07:25.000;0.025;187.782
259;15.09.2020;09:07:26.000;0.025;187.729
260;15.09.2020;09:07:27.000;0.026;187.673
261;15.09.2020;09:07:28.000;0.025;187.746
262;15.09.2020;09:07:29.000;0.025;187.798
263;15.09.2020;09:07:30.000;0.025;187.772
264;15.09.2020;09:07:31.000;0.025;187.765
265;15.09.2020;09:07:32.000;0.026;187.740
266;15.09.2020;09:07:33.000;0.025;187.829
267;15.09.2020;09:07:34.000;0.025;187.862
268;15.09.2020;09:07:35.000;0.025;187.844
269;15.09.2020;09:07:36.000;0.025;187.791
270;15.09.2020;09:07:37.000;0.025;187.760
271;15.09.2020;09:07:38.000;0.025;187.811
272;15.09.2020;09:07:39.000;0.026;187.823
273;15.09.2020;09:07:40.000;0.025;187.806
274;15.09.2020;09:07:41.000;0.025;187.741
275;15.09.2020;09:07:42.000;0.025;187.713
276;15.09.2020;09:07:43.000;0.025;187.775
277;15.09.2020;09:07:44.000;0.025;187.769
278;15.09.2020;09:07:45.000;0.025;187.737
279;15.09.2020;09:07:46.000;0.025;187.585
280;15.09.2020;09:07:47.000;0.025;187.620
281;15.09.2020;09:07:48.000;0.025;187.617
282;15.09.2020;09:07:49.000;0.025;187.597
283;15.09.2020;09:07:50.000;0.026;187.589
284;15.09.2020;09:07:51.000;0.025;187.608
285;15.09.2020;09:07:52.000;0.025;187.641
286;15.09.2020;09:07:53.000;0.025;187.677
287;15.09.2020;09:07:54.000;0.025;187.667
288;15.09.2020;09:07:55.000;0.025;187.611
289;15.09.2020;09:07:56.000;0.025;187.519
290;15.09.2020;09:07:57.000;0.025;187.522
291;15.09.2020;09:07:58.000;0.025;187.560
292;15.09.2020;09:07:59.000;0.025;187.521
293;15.09.2020;09:08:00.000;0.025;187.554
294;15.09.2020;09:08:01.000;0.025;187.655
295;15.09.2020;09:08:02.000;0.025;187.634
296;15.09.2020;09:08:03.000;0.025;187.642
297;15.09.2020;09:08:04.000;0.025;187.668
298;15.09.2020;09:08:05.000;0.025;187.654
299;15.09.2020;09:08:06.000;0.025;187.680
300;15.09.2020;09:08:07.000;0.025;187.712
301;15.09.2020;09:08:08.000;0.025;187.744
302;15.09.2020;09:08:09.000;0.025;187.696
303;15.09.2020;09:08:10.000;0.026;187.719
304;15.09.2020;09:08:11.000;0.025;187.700
305;15.09.2020;09:08:12.000;0.025;187.682
306;15.09.2020;09:08:13.000;0.025;187.677
307;15.09.2020;09:08:14.000;0.026;187.725
308;15.09.2020;09:08:15.000;0.026;187.716
309;15.09.2020;09:08:16.000;0.025;187.667
310;15.09.2020;09:08:17.000;0.025;187.686
311;15.09.2020;09:08:18.000;0.025;187.746
312;15.09.2020;09:08:19.000;0.025;187.726
313;15.09.2020;09:08:20.000;0.025;187.718
314;15.09.2020;09:08:21.000;0.026;187.718
315;15.09.2020;09:08:22.000;0.026;187.758
316;15.09.2020;09:08:23.000;0.025;187.805
317;15.09.2020;09:08:24.000;0.026;187.800
318;15.09.2020;09:08:25.000;0.025;187.821
319;15.09.2020;09:08:26.000;0.025;187.773
320;15.09.2020;09:08:27.000;0.025;187.747
321;15.09.2020;09:08:28.000;0.025;187.810
322;15.09.2020;09:08:29.000;0.025;187.807
323;15.09.2020;09:08:30.000;0.025;187.833
324;15.09.2020;09:08:31.000;0.025;187.826
325;15.09.2020;09:08:32.000;0.025;187.786
326;15.09.2020;09:08:33.000;0.025;187.870
327;15.09.2020;09:08:34.000;0.025;187.889
328;15.09.2020;09:08:35.000;0.025;187.895
329;15.09.2020;09:08:36.000;0.025;187.884
330;15.09.2020;09:08:37.000;0.025;187.876
331;15.09.2020;09:08:38.000;0.025;187.853
332;15.09.2020;09:08:39.000;0.025;187.939
333;15.09.2020;09:08:40.000;0.025;187.966
334;15.09.2020;09:08:41.000;0.025;187.923
335;15.09.2020;09:08:42.000;0.025;187.914
336;15.09.2020;09:08:43.000;0.025;187.955
337;15.09.2020;09:08:44.000;0.025;187.987
338;15.09.2020;09:08:45.000;0.025;187.981
339;15.09.2020;09:08:46.000;0.025;188.027
340;15.09.2020;09:08:47.000;0.025;187.999
341;15.09.2020;09:08:48.000;0.025;188.017
342;15.09.2020;09:08:49.000;0.025;188.075
343;15.09.2020;09:08:50.000;0.025;188.106
344;15.09.2020;09:08:51.000;0.025;188.069
345;15.09.2020;09:08:52.000;0.025;188.067
346;15.09.2020;09:08:53.000;0.025;188.090
347;15.09.2020;09:08:54.000;0.025;188.133
348;15.09.2020;09:08:55.000;0.025;188.190
349;15.09.2020;09:08:56.000;0.025;188.169
350;15.09.2020;09:08:57.000;0.025;188.105
351;15.09.2020;09:08:58.000;0.025;188.148
352;15.09.2020;09:08:59.000;0.025;188.215
353;15.09.2020;09:09:00.000;0.025;188.210
354;15.09.2020;09:09:01.000;0.025;188.204
355;15.09.2020;09:09:02.000;0.025;188.179
356;15.09.2020;09:09:03.000;0.025;188.199
357;15.09.2020;09:09:04.000;0.025;188.223
358;15.09.2020;09:09:05.000;0.025;188.221
359;15.09.2020;09:09:06.000;0.025;188.179
360;15.09.2020;09:09:07.000;0.025;188.128
361;15.09.2020;09:09:08.000;0.025;188.126
362;15.09.2020;09:09:09.000;0.025;188.119
363;15.09.2020;09:09:10.000;0.025;188.144
364;15.09.2020;09:09:11.000;0.025;188.113
365;15.09.2020;09:09:12.000;0.025;188.060
366;15.09.2020;09:09:13.000;0.025;188.104
367;15.09.2020;09:09:14.000;0.026;188.177
368;15.09.2020;09:09:15.000;0.025;188.151
369;15.09.2020;09:09:16.000;0.025;188.155
370;15.09.2020;09:09:17.000;0.025;188.132
371;15.09.2020;09:09:18.000;0.025;188.182
372;15.09.2020;09:09:19.000;0.025;188.178
373;15.09.2020;09:09:20.000;0.025;188.151
374;15.09.2020;09:09:21.000;0.025;188.097
375;15.09.2020;09:09:22.000;0.025;188.040
376;15.09.2020;09:09:23.000;0.025;188.122
377;15.09.2020;09:09:24.000;0.025;188.148
378;15.09.2020;09:09:25.000;0.025;188.158
379;15.09.2020;09:09:26.000;0.025;188.146
380;15.09.2020;09:09:27.000;0.025;188.119
381;15.09.2020;09:09:28.000;0.026;188.176
382;15.09.2020;09:09:29.000;0.025;188.230
383;15.09.2020;09:09:30.000;0.025;188.258
384;15.09.2020;09:09:31.000;0.025;188.458
385;15.09.2020;09:09:32.000;0.025;188.409
386;15.09.2020;09:09:33.000;0.025;188.419
387;15.09.2020;09:09:34.000;0.025;188.462
388;15.09.2020;09:09:35.000;0.025;188.486
389;15.09.2020;09:09:36.000;0.025;188.450
390;15.09.2020;09:09:37.000;0.025;188.489
391;15.09.2020;09:09:38.000;0.025;188.501
392;15.09.2020;09:09:39.000;0.025;188.435
393;15.09.2020;09:09:40.000;0.025;188.403
394;15.09.2020;09:09:41.000;0.025;188.357
395;15.09.2020;09:09:42.000;0.025;188.377
396;15.09.2020;09:09:43.000;0.026;188.395
397;15.09.2020;09:09:44.000;0.025;188.393
398;15.09.2020;09:09:45.000;0.025;188.354
399;15.09.2020;09:09:46.000;0.025;188.370
400;15.09.2020;09:09:47.000;0.025;188.396
401;15.09.2020;09:09:48.000;0.026;188.397
402;15.09.2020;09:09:49.000;0.025;188.350
403;15.09.2020;09:09:50.000;0.025;188.328
404;15.09.2020;09:09:51.000;0.025;188.260
405;15.09.2020;09:09:52.000;0.025;188.268
406;15.09.2020;09:09:53.000;0.025;188.263
407;15.09.2020;09:09:54.000;0.025;188.274
408;15.09.2020;09:09:55.000;0.025;188.291
409;15.09.2020;09:09:56.000;0.025;188.275
410;15.09.2020;09:09:57.000;0.026;188.248
411;15.09.2020;09:09:58.000;0.025;188.260
412;15.09.2020;09:09:59.000;0.025;188.263
413;15.09.2020;09:10:00.000;0.025;188.306
414;15.09.2020;09:10:01.000;0.025;188.294
415;15.09.2020;09:10:02.000;0.025;188.337
416;15.09.2020;09:10:03.000;0.025;188.354
417;15.09.2020;09:10:04.000;0.025;188.313
418;15.09.2020;09:10:05.000;0.026;188.282
419;15.09.2020;09:10:06.000;0.025;188.252
420;15.09.2020;09:10:07.000;0.025;188.281
421;15.09.2020;09:10:08.000;0.025;188.330
422;15.09.2020;09:10:09.000;0.025;188.332
423;15.09.2020;09:10:10.000;0.025;188.326
424;15.09.2020;09:10:11.000;0.026;188.279
425;15.09.2020;09:10:12.000;0.025;188.292
426;15.09.2020;09:10:13.000;0.025;188.326
427;15.09.2020;09:10:14.000;0.025;188.328
428;15.09.2020;09:10:15.000;0.025;188.336
429;15.09.2020;09:10:16.000;0.025;188.347
430;15.09.2020;09:10:17.000;0.025;188.346
431;15.09.2020;09:10:18.000;0.025;188.439
432;15.09.2020;09:10:19.000;0.025;188.503
433;15.09.2020;09:10:20.000;0.026;188.518
434;15.09.2020;09:10:21.000;0.025;188.510
435;15.09.2020;09:10:22.000;0.025;188.494
436;15.09.2020;09:10:23.000;0.025;188.508
437;15.09.2020;09:10:24.000;0.025;188.538
438;15.09.2020;09:10:25.000;0.025;188.563
439;15.09.2020;09:10:26.000;0.025;188.553
440;15.09.2020;09:10:27.000;0.026;188.548
441;15.09.2020;09:10:28.000;0.025;188.559
442;15.09.2020;09:10:29.000;0.025;188.607
443;15.09.2020;09:10:30.000;0.025;188.552
444;15.09.2020;09:10:31.000;0.025;188.529
445;15.09.2020;09:10:32.000;0.025;188.512
446;15.09.2020;09:10:33.000;0.025;188.560
447;15.09.2020;09:10:34.000;0.025;188.576
448;15.09.2020;09:10:35.000;0.026;188.592
449;15.09.2020;09:10:36.000;0.025;188.560
450;15.09.2020;09:10:37.000;0.025;188.457
451;15.09.2020;09:10:38.000;0.025;188.424
452;15.09.2020;09:10:39.000;0.025;188.445
453;15.09.2020;09:10:40.000;0.026;188.473
454;15.09.2020;09:10:41.000;0.025;188.419
455;15.09.2020;09:10:42.000;0.025;188.437
456;15.09.2020;09:10:43.000;0.025;188.484
457;15.09.2020;09:10:44.000;0.026;188.463
458;15.09.2020;09:10:45.000;0.025;188.509
459;15.09.2020;09:10:46.000;0.025;188.501
460;15.09.2020;09:10:47.000;0.025;188.465
461;15.09.2020;09:10:48.000;0.025;188.470
462;15.09.2020;09:10:49.000;0.025;188.519
463;15.09.2020;09:10:50.000;0.025;188.534
464;15.09.2020;09:10:51.000;0.026;188.501
465;15.09.2020;09:10:52.000;0.025;188.492
466;15.09.2020;09:10:53.000;0.025;188.578
467;15.09.2020;09:10:54.000;0.026;188.612
468;15.09.2020;09:10:55.000;0.026;188.595
469;15.09.2020;09:10:56.000;0.025;188.561
470;15.09.2020;09:10:57.000;0.026;188.537
471;15.09.2020;09:10:58.000;43.107;188.118
472;15.09.2020;09:10:59.000;1.615;188.509
473;15.09.2020;09:11:00.000;1.602;188.525
474;15.09.2020;09:11:01.000;8.197;188.248
475;15.09.2020;09:11:02.000;9.143;188.095
476;15.09.2020;09:11:03.000;8.969;188.124
477;15.09.2020;09:11:04.000;12.095;188.000
478;15.09.2020;09:11:05.000;15.057;187.805
479;15.09.2020;09:11:06.000;15.164;187.742
480;15.09.2020;09:11:07.000;15.121;187.730
481;15.09.2020;09:11:08.000;13.088;187.864
482;15.09.2020;09:11:09.000;13.028;187.793
483;15.09.2020;09:11:10.000;14.162;187.749
484;15.09.2020;09:11:11.000;14.012;187.740
485;15.09.2020;09:11:12.000;14.352;187.716
486;15.09.2020;09:11:13.000;14.671;187.724
487;15.09.2020;09:11:14.000;14.647;187.696
488;15.09.2020;09:11:15.000;14.553;187.694
489;15.09.2020;09:11:16.000;14.905;187.614
490;15.09.2020;09:11:17.000;14.971;187.591
491;15.09.2020;09:11:18.000;14.593;187.662
492;15.09.2020;09:11:19.000;14.769;187.716
493;15.09.2020;09:11:20.000;14.996;187.743
494;15.09.2020;09:11:21.000;14.822;187.748
495;15.09.2020;09:11:22.000;15.155;187.684
496;15.09.2020;09:11:23.000;15.029;187.713
497;15.09.2020;09:11:24.000;14.849;187.677
498;15.09.2020;09:11:25.000;15.604;187.600
499;15.09.2020;09:11:26.000;15.226;187.558
500;15.09.2020;09:11:27.000;15.344;187.557
501;15.09.2020;09:11:28.000;15.633;187.575
502;15.09.2020;09:11:29.000;15.283;187.585
503;15.09.2020;09:11:30.000;15.722;187.525
504;15.09.2020;09:11:31.000;15.686;187.473
505;15.09.2020;09:11:32.000;16.255;187.419
506;15.09.2020;09:11:33.000;16.103;187.392
507;15.09.2020;09:11:34.000;16.393;187.333
508;15.09.2020;09:11:35.000;16.310;187.276
509;15.09.2020;09:11:36.000;16.829;187.184
510;15.09.2020;09:11:37.000;16.345;187.238
511;15.09.2020;09:11:38.000;17.094;187.221
512;15.09.2020;09:11:39.000;16.908;187.226
513;15.09.2020;09:11:40.000;16.178;187.242
514;15.09.2020;09:11:41.000;17.622;187.164
515;15.09.2020;09:11:42.000;17.455;187.168
516;15.09.2020;09:11:43.000;17.218;187.162
517;15.09.2020;09:11:44.000;17.749;187.148
518;15.09.2020;09:11:45.000;18.488;187.147
519;15.09.2020;09:11:46.000;18.119;187.143
520;15.09.2020;09:11:47.000;18.943;187.072
521;15.09.2020;09:11:48.000;18.571;187.114
522;15.09.2020;09:11:49.000;16.401;187.237
523;15.09.2020;09:11:50.000;17.749;187.165
524;15.09.2020;09:11:51.000;12.790;187.344
525;15.09.2020;09:11:52.000;9.668;187.477
526;15.09.2020;09:11:53.000;8.160;187.576
527;15.09.2020;09:11:54.000;7.983;187.591
528;15.09.2020;09:11:55.000;7.904;187.608
529;15.09.2020;09:11:56.000;8.350;187.503
530;15.09.2020;09:11:57.000;8.311;187.521
531;15.09.2020;09:11:58.000;8.226;187.619
532;15.09.2020;09:11:59.000;8.189;187.631
533;15.09.2020;09:12:00.000;8.076;187.629
534;15.09.2020;09:12:01.000;8.137;187.647
535;15.09.2020;09:12:02.000;8.261;187.606
536;15.09.2020;09:12:03.000;8.256;187.637
537;15.09.2020;09:12:04.000;8.253;187.597
538;15.09.2020;09:12:05.000;8.046;187.628
539;15.09.2020;09:12:06.000;8.260;187.617
540;15.09.2020;09:12:07.000;8.083;187.582
541;15.09.2020;09:12:08.000;8.289;187.601
542;15.09.2020;09:12:09.000;8.385;187.622
543;15.09.2020;09:12:10.000;8.017;187.615
544;15.09.2020;09:12:11.000;8.317;187.570
545;15.09.2020;09:12:12.000;8.361;187.565
546;15.09.2020;09:12:13.000;7.991;187.624
547;15.09.2020;09:12:14.000;7.975;187.677
548;15.09.2020;09:12:15.000;8.676;187.649
549;15.09.2020;09:12:16.000;8.583;187.664
550;15.09.2020;09:12:17.000;8.482;187.630
551;15.09.2020;09:12:18.000;8.531;187.635
552;15.09.2020;09:12:19.000;8.548;187.663
553;15.09.2020;09:12:20.000;8.380;187.698
554;15.09.2020;09:12:21.000;8.481;187.671
555;15.09.2020;09:12:22.000;8.110;187.632
556;15.09.2020;09:12:23.000;8.464;187.619
557;15.09.2020;09:12:24.000;8.310;187.656
558;15.09.2020;09:12:25.000;8.291;187.628
